,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
DDD,3D Systems Corp,"3D Systems Corp through its subsidiaries is engaged in providing 3D printing centric solutions, including 3D printers, print materials and cloud sourced custom parts.",Cyclical,http://www.3dsystems.com,1.6Bil,-640.0Mil,0.7Bil,"2,492",Technology,Computer Systems
MMM,3M Co,"3M Co is a diversified technology company. The Company's business segments are Industrial, Safety and Graphics, Health Care, Electronics and Energy, and Consumer. Its products include vinyl, polyester, and foil.",Cyclical,http://www.3m.com,104.0Bil,4.9Bil,30.1Bil,"89,446",Industrials,Diversified Industrials
WUBA,58.com Inc ADR repr Class A,"58.com Inc operates online marketplace serving local merchants and consumers in China. Its online marketplace enables local merchants and consumers to connect, share information and conduct business.",,http://www.58.com,4.5Bil,-63.8Mil,1.1Bil,"20,705",Technology,Internet Content & Information
AHC,A H Belo Corp A,"A H Belo Corp is a local news and information publishing company with commercial printing, distribution and direct mail capabilities, as well as expertise in emerging media and digital marketing.",Distressed,http://www.ahbelo.com,0.1Bil,-14.1Mil,0.3Bil,"1,160",Consumer Cyclical,Publishing
ATEN,A10 Networks Inc,"A10 Networks Inc provides application networking technologies. Its solutions enable enterprises, service providers, web giants and government organizations to accelerate, secure and optimize the performance of data center applications and networks.",Cyclical,http://www.a10networks.com,0.6Bil,-26.5Mil,0.2Bil,722,Technology,Communication Equipment
AAC,AAC Holdings Inc,"AAC Holdings Inc provides inpatient substance abuse treatment services. The Company treats adults as well as adolescents who are struggling with drug addiction, alcohol addiction, and co-occurring mental or behavioural health issues.",Aggressive,http://www.americanaddictioncenters.org,0.2Bil,-0.6Mil,0.3Bil,"2,200",Healthcare,Medical Care
AIR,AAR Corp,"AAR Corp along with its subsidiaries is engaged in providing products & services including overhaul, repair & engineering services to aviation & government & defense markets. Its business segments are Aviation Services and Expeditionary Services.",Cyclical,http://www.aarcorp.com,1.3Bil,34.3Mil,1.7Bil,"4,700",Industrials,Aerospace & Defense
AAN,Aaron's Inc,"Aaron's Inc is a specialty retailer of furniture, consumer electronics, computers, appliances and household accessories. Its business segments are Sales and Lease Ownership, Progressive, HomeSmart, DAMI, Franchise and Manufacturing.",Cyclical,http://www.aaronrents.com,2.1Bil,0.1Bil,3.2Bil,"12,700",Industrials,Rental & Leasing Services
ABB,ABB Ltd ADR,"ABB Ltd provides power and automation technologies. It offers products, systems, solutions and services that are designed to boost industrial productivity, increase power grid reliability, and enhance energy efficiency.",,http://www.abb.com,44.2Bil,1.7Bil,34.1Bil,"135,000",Industrials,Diversified Industrials
ABT,Abbott Laboratories,"Abbott Laboratories discovers, develops, manufactures and sells health care products. Its products include branded generic pharmaceuticals manufactured internationally, marketed and sold outside the United States.",Slow,http://www.abbott.com,58.7Bil,1.4Bil,20.7Bil,"74,000",Healthcare,Medical Devices
ABBV,AbbVie Inc,"AbbVie Inc is a research-based biopharmaceutical company. The Company is engaged in the discovery, development, manufacture and sale of a broad line of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders.",High,http://www.abbvie.com,98.4Bil,6.1Bil,25.2Bil,"28,000",Healthcare,Drug Manufacturers - Major
ANF,Abercrombie & Fitch Co Class A,"Abercrombie & Fitch Co is a specialty retailer, which operates stores and direct-to-consumer operations. The Company sells products, including casual sportswear apparel, including knit and woven shirts, and graphic t-shirts.",High,http://www.abercrombie.com,1.0Bil,46.9Mil,3.5Bil,"49,000",Consumer Cyclical,Apparel Stores
ABM,ABM Industries Inc,"ABM Industries Inc is engaged in providing end-to-end integrated facility solutions to commercial, industrial, institutional, retail, residential, and governmental facilities located throughout the United States.",Cyclical,http://www.abm.com,2.4Bil,88.2Mil,5.1Bil,"120,000",Industrials,Business Services
AKR,Acadia Realty Trust,"Acadia Realty Trust is a real estate investment trust. It is engaged in the ownership, acquisition, redevelopment and management of retail properties located in supply-constrained, densely-populated metropolitan areas in the United States.",Hard,http://www.acadiarealty.com,2.7Bil,61.8Mil,0.2Bil,116,Real Estate,REIT - Retail
ACN,Accenture PLC A,"Accenture PLC is a professional service company. The Company is engaged in providing management consulting, technology and outsourcing services to clients.",,http://www.accenture.com,80.2Bil,4.1Bil,34.8Bil,"384,000",Technology,Information Technology Services
ACCO,ACCO Brands Corp,"ACCO Brands Corp is a manufacturer & marketer of office, school & calendar products and select computer and electronic accessories. It sell its products to consumers & commercial end-users through resellers, including traditional office supply resellers.",Cyclical,http://www.accobrands.com,1.3Bil,0.1Bil,1.5Bil,"5,020",Industrials,Business Equipment
ATV,Acorn International Inc ADR,Acorn International Inc and its subsidiaries operates as an integrated multi-platform marketing company in the People's Republic of China. Its divisions include direct-sales platforms and our nationwide distribution network.,,http://www.chinadrtv.com,32.3Mil,-4.0Mil,34.0Mil,305,Consumer Cyclical,Specialty Retail
ATU,Actuant Corp Class A,"Actuant Corp is a diversified company that designs, manufactures and distributes a broad industrial products and systems to various end markets. The Company's business segments are Industrial, Energy, and Engineered Solutions.",Cyclical,http://www.actuant.com,1.5Bil,-105.2Mil,1.1Bil,"5,200",Industrials,Diversified Industrials
AYI,Acuity Brands Inc,"Acuity Brands Inc is the provider of lighting and building management solutions for commercial, institutional, industrial, infrastructure, and residential applications throughout North America and international markets.",Cyclical,http://www.acuitybrands.com,11.0Bil,0.3Bil,3.3Bil,"11,800",Technology,Electronic Components
GOLF,Acushnet Holdings Corp,"Acushnet Holdings Corp is engaged in the design, development, manufacture and distribution of performance-driven golf products.",,http://www.acushnetcompany.com,1.4Bil,17.6Mil,1.5Bil,"5,228",Consumer Cyclical,Leisure
AGRO,Adecoagro SA,"Adecoagro SA is an agricultural company in South America, with operations in Argentina, Brazil and Uruguay. It is engaged in farming crops and other agricultural products, dairy operations, sugar, ethanol and energy production and land transformation.",,http://www.adecoagro.com,1.3Bil,2.9Mil,0.9Bil,"8,111",Consumer Defensive,Farm Products
ADPT,Adeptus Health Inc Class A,"Adeptus Health Inc owns and operates First Choice Emergency Rooms, the network of independent freestanding emergency rooms in the United States.",Speculative,http://www.adhc.com,0.2Bil,84.7Mil,0.4Bil,"3,202",Healthcare,Medical Care
AAP,Advance Auto Parts Inc,"Advance Auto Parts Inc is a specialty retailer of automotive aftermarket parts, accessories, batteries and maintenance items operating within the United States.",Cyclical,http://www.advanceautoparts.com,12.0Bil,0.5Bil,9.5Bil,"73,000",Consumer Cyclical,Specialty Retail
ADSW,Advanced Disposal Services Inc,"Advanced Disposal Services Inc is an integrated provider of non-hazardous solid waste collection, transfer, recycling and disposal services operating in secondary markets or under exclusive arrangements.",,http://www.advanceddisposal.com,1.8Bil,-19.1Mil,1.4Bil,"5,400",Industrials,Waste Management
WMS,Advanced Drainage Systems Inc,"Advanced Drainage Systems Inc designs, manufactures and markets high performance thermoplastic corrugated pipe and related water management products in North and South America and Europe.",Cyclical,http://www.ads-pipe.com,1.2Bil,18.0Mil,1.3Bil,"4,300",Consumer Cyclical,Rubber & Plastics
ASX,Advanced Semiconductor Engineering Inc ADR,"Advanced Semiconductor Engineering Inc and its subsidiaries provides semiconductor packaging and testing services. Its services include semiconductor packaging, production of interconnect materials, engineering testing & wafer probing.",,http://www.aseglobal.com,8.3Bil,0.6Bil,8.5Bil,"68,141",Technology,Semiconductors
APFH,AdvancePierre Foods Holdings Inc,,Classic,http://www.advancepierre.com,2.1Bil,0.1Bil,1.5Bil,"4,000",Consumer Defensive,Packaged Foods
ASIX,AdvanSix Inc,"AdvanSix Inc manufactures Nylon 6, a polymer resin used to produce engineered plastics, fibers, filaments & films that are used in end-products as automotive & electronic components, carpets, sports apparel, fishing nets & food and industrial packaging.",Cyclical,http://www.advan6.com,0.5Bil,74.2Mil,1.2Bil,"1,100",Basic Materials,Chemicals
AAV,Advantage Oil & Gas Ltd,Advantage Oil & Gas Ltd and its subsidiaries is an intermediate natural gas and liquids development and production corporation in the Montney resource play located in Western Canada.,,http://www.advantageog.com,1.3Bil,4.1Mil,97.1Mil,26,Energy,Oil & Gas E&P
ACM,AECOM,"AECOM provides professional technical and management support services for public and private clients. It provides planning, consulting, architectural & engineering design, and program & construction management services.",Cyclical,http://www.aecom.com,5.6Bil,96.1Mil,17.4Bil,"87,000",Industrials,Engineering & Construction
ANW,Aegean Marine Petroleum Network Inc,Aegean Marine Petroleum Network Inc is an international marine fuel logistics company that markets and physically supplies refined marine fuel and lubricants to vessels in port and at sea.,,http://www.ampni.com,0.4Bil,45.6Mil,3.8Bil,977,Energy,Oil & Gas Integrated
AEB,Algae Tec Ltd,"Algae Tec Ltd is engaged in the development of the technology for the production of algal oil and algal biomass for sale as feedstock to producers of biodiesel, jet fuel and ethanol.",,http://www.algaetec.com.au,17.2Mil,-3.3Mil,0.6Mil,,Industrials,Waste Management
AED,Aedifica SA,"Aedifica SA is a Public Regulated Real Estate Company. Its segments are senior housing, apartment buildings, & hotels & others. It creates a balanced portfolio of residential buildings that generates recurring revenue & offers potential for capital gains.",,http://www.aedifica.be,1.0Bil,40.3Mil,61.9Mil,35,Real Estate,REIT - Residential
AEG,Aegon NV ADR,"Aegon NV provides life insurance, pensions and asset management products and services in the USA, Europe, and Asia. It offers life and protection, and accidental death products. It also offers individual savings and retirement products.",,http://www.aegon.com,10.7Bil,0.8Bil,58.3Bil,"30,000",Financial Services,Insurance - Diversified
AEK,American Capital Ltd,"American Capital Ltd is an asset management and private equity firm. The Company originates, underwrites and manages investments in the middle market private equity, leveraged finance, real estate, energy and structured products.",Cyclical,http://www.american-capital.com,3.4Bil,-56.7Mil,0.5Bil,233,Financial Services,Asset Management
AER,AerCap Holdings NV,"AerCap Holdings NV provides aircraft leasing & aviation finance services. Its activities also include aircraft asset management, corporate services, remarketing of aircraft, collecting rental, maintenance payments & monitoring aircraft maintenance.",,http://www.aercap.com,8.1Bil,0.9Bil,5.4Bil,392,Industrials,Airports & Air Services
HIVE,Aerohive Networks Inc,Aerohive Networks Inc designs and develops cloud-managed mobile networking platform that enables enterprises to deploy a mobile-centric network edge.,Cyclical,http://www.aerohive.com,0.3Bil,-38.7Mil,0.2Bil,629,Technology,Communication Equipment
AJRD,Aerojet Rocketdyne Holdings Inc,"Aerojet Rocketdyne Holdings Inc manufactures aerospace and defense products and systems which develops and manufactures propulsion systems for defense and space applications, and armaments for precision tactical and long-range weapon systems applications.",Cyclical,http://www.aerojetrocketdyne.com,1.4Bil,-16.2Mil,1.7Bil,"4,823",Industrials,Aerospace & Defense
AET,Aetna Inc,"Aetna Inc is a health care benefit company. The Company offers traditional and consumer-directed health insurance products and related services, including medical, pharmacy, dental, behavioral health, group life and disability plans.",Aggressive,http://www.aetna.com,43.8Bil,2.5Bil,62.5Bil,"50,100",Healthcare,Health Care Plans
AMG,Affiliated Managers Group Inc,"Affiliated Managers Group Inc., is an asset management company with equity investments in a group of boutique investment management firms or Affiliates.",Cyclical,http://www.amg.com,7.7Bil,0.5Bil,2.2Bil,"3,200",Financial Services,Asset Management
MGR,Mirvac Group,"Mirvac Group owns a diversified property portfolio of retail, commercial, residential and car park properties across Australia. The Company's business segments are Investment and Development.",,http://www.mirvac.com,7.2Bil,1.0Bil,2.9Bil,"1,420",Real Estate,REIT - Office
AFL,Aflac Inc,Aflac Inc is a general business holding company and acts as a management company. The Company sells supplemental health and life insurance in the United States and Japan.,Slow,http://www.aflac.com,29.6Bil,2.6Bil,21.9Bil,"9,915",Financial Services,Insurance - Life
AGCO,AGCO Corp,"AGCO Corp manufactures and distributes agricultural equipment and related replacement parts in various parts of the country. It sells a full range of agricultural equipment, including tractors, combines, self-propelled sprayers, among others.",Cyclical,http://www.agcocorp.com,4.2Bil,0.2Bil,7.3Bil,"19,600",Industrials,Farm & Construction Equipment
A,Agilent Technologies Inc,"Agilent Technologies Inc provides application focused solutions that includes instruments, software, services and consumables for the entire laboratory workflow for life sciences, diagnostics and applied chemical markets.",Slow,http://www.agilent.com,14.6Bil,0.5Bil,4.1Bil,"12,100",Healthcare,Diagnostics & Research
AEM,Agnico Eagle Mines Ltd,"Agnico Eagle Mines Ltd is a gold mining company. It is engaged in production and sale of gold as well as exploration and mine development. Its mining operations are located in Canada, Mexico and Finland.",,http://www.agnico-eagle.com,9.5Bil,80.6Mil,2.1Bil,"5,764",Basic Materials,Gold
ADC,Agree Realty Corp,"Agree Realty Corp is engaged in fully-integrated, self-administered and self-managed REIT. It is focused on the ownership, development, acquisition and management of retail properties net leased to national tenants.",Hard,http://www.agreerealty.com,1.1Bil,40.2Mil,85.4Mil,20,Real Estate,REIT - Retail
AGU,Agrium Inc,Agrium Inc is a retail supplier of agricultural products and services in North and South America and producer and marketer of agricultural nutrients and industrial products.,,http://www.agrium.com,13.6Bil,0.7Bil,13.8Bil,"15,200",Basic Materials,Agricultural Inputs
AL,Air Lease Corp Class A,"Air Lease Corp is an aircraft leasing company, engaged in purchasing commercial aircraft & leasing to airlines. It also provides fleet management services to investors and owners of aircraft portfolios for a management fee.",Cyclical,http://www.airleasecorp.com,3.6Bil,0.4Bil,1.4Bil,74,Industrials,Rental & Leasing Services
APD,Air Products & Chemicals Inc,"Air Products & Chemicals Inc is a supplier of hydrogen and helium. It also provides semiconductor materials, refinery hydrogen, natural gas liquefaction and advanced coatings and adhesives.",Cyclical,http://www.airproducts.com,29.9Bil,0.6Bil,9.5Bil,"19,700",Basic Materials,Chemicals
AYR,Aircastle Ltd,"Aircastle Ltd is a holding company. The Company through its subsidiaries is engaged in investing in aviation assets, including acquiring, leasing, managing and selling high-utility commercial jet aircraft.",,http://www.aircastle.com,1.8Bil,0.1Bil,0.8Bil,103,Industrials,Rental & Leasing Services
