MSFT US Equity,,,ENVA US Equity,,,CL US Equity,
Date,Closing Price,,Date,Closing Price,,Date,Closing Price
10/14/2013,34.45,,10/30/2014,28,,10/14/2013,61.53
10/15/2013,34.49,,10/31/2014,28.47,,10/15/2013,61.23
10/16/2013,34.64,,11/3/2014,28.47,,10/16/2013,62.28
10/17/2013,34.92,,11/4/2014,28.43,,10/17/2013,63.41
10/18/2013,34.96,,11/5/2014,29.71,,10/18/2013,62.81
10/21/2013,34.99,,11/6/2014,30.18,,10/21/2013,62.26
10/22/2013,34.58,,11/11/2014,31.08,,10/22/2013,63.47
10/23/2013,33.76,,11/12/2014,30.51,,10/23/2013,63.47
10/24/2013,33.72,,11/13/2014,26.95,,10/24/2013,63.04
10/25/2013,35.73,,11/14/2014,25.12,,10/25/2013,63.6
10/28/2013,35.57,,11/17/2014,24.27,,10/28/2013,64.76
10/29/2013,35.52,,11/18/2014,23.99,,10/29/2013,65.94
10/30/2013,35.54,,11/19/2014,23.69,,10/30/2013,65.22
10/31/2013,35.405,,11/20/2014,23.42,,10/31/2013,64.73
11/1/2013,35.525,,11/21/2014,23.37,,11/1/2013,65.39
11/4/2013,35.94,,11/24/2014,22.96,,11/4/2013,65.73
11/5/2013,36.64,,11/25/2014,22.3,,11/5/2013,65.36
11/6/2013,38.18,,11/26/2014,22.86,,11/6/2013,66.01
11/7/2013,37.5,,11/28/2014,22.99,,11/7/2013,64.8
11/8/2013,37.78,,12/1/2014,22.7,,11/8/2013,64.83
11/11/2013,37.59,,12/2/2014,22.85,,11/11/2013,64.62
11/12/2013,37.36,,12/3/2014,22.17,,11/12/2013,64.72
11/13/2013,38.155,,12/4/2014,21.96,,11/13/2013,65.09
11/14/2013,38.021,,12/5/2014,22.23,,11/14/2013,65.6
11/15/2013,37.841,,12/8/2014,22.1,,11/15/2013,65.78
11/18/2013,37.2,,12/9/2014,22.08,,11/18/2013,65.18
11/19/2013,36.74,,12/10/2014,21.97,,11/19/2013,65.28
11/20/2013,37.08,,12/11/2014,22.4,,11/20/2013,65.26
11/21/2013,37.4,,12/12/2014,23.04,,11/21/2013,65.98
11/22/2013,37.57,,12/15/2014,22.67,,11/22/2013,66.26
11/25/2013,37.64,,12/16/2014,21.85,,11/25/2013,65.95
11/26/2013,37.35,,12/17/2014,22,,11/26/2013,66.01
11/27/2013,37.6,,12/18/2014,22.11,,11/27/2013,65.83
11/29/2013,38.13,,12/19/2014,21.96,,11/29/2013,65.81
12/2/2013,38.45,,12/22/2014,21.82,,12/2/2013,65.28
12/3/2013,38.31,,12/23/2014,21.89,,12/3/2013,65.37
12/4/2013,38.94,,12/24/2014,21.85,,12/4/2013,65.04
12/5/2013,38,,12/26/2014,21.89,,12/5/2013,64.54
12/6/2013,38.36,,12/29/2014,21.93,,12/6/2013,65.66
12/9/2013,38.705,,12/30/2014,22.22,,12/9/2013,65.69
12/10/2013,38.11,,12/31/2014,22.26,,12/10/2013,64.69
12/11/2013,37.61,,1/2/2015,22.82,,12/11/2013,64.94
12/12/2013,37.22,,1/5/2015,22.43,,12/12/2013,63.97
12/13/2013,36.69,,1/6/2015,21.25,,12/13/2013,63.98
12/16/2013,36.885,,1/7/2015,21.41,,12/16/2013,64.04
12/17/2013,36.52,,1/8/2015,21.51,,12/17/2013,63.58
12/18/2013,36.58,,1/9/2015,20.93,,12/18/2013,64.64
12/19/2013,36.25,,1/12/2015,19.89,,12/19/2013,64.24
12/20/2013,36.8,,1/13/2015,20.1,,12/20/2013,64.74
12/23/2013,36.62,,1/14/2015,20.19,,12/23/2013,64.63
12/24/2013,37.08,,1/15/2015,20.2,,12/24/2013,64.71
12/26/2013,37.44,,1/16/2015,20.56,,12/26/2013,64.83
12/27/2013,37.29,,1/20/2015,20.21,,12/27/2013,65.37
12/30/2013,37.29,,1/21/2015,19.17,,12/30/2013,65.43
12/31/2013,37.41,,1/22/2015,19.41,,12/31/2013,65.21
1/2/2014,37.16,,1/23/2015,19.74,,1/2/2014,64.3
1/3/2014,36.91,,1/26/2015,20.15,,1/3/2014,64.18
1/6/2014,36.13,,1/27/2015,19.92,,1/6/2014,64.14
1/7/2014,36.41,,1/28/2015,19,,1/7/2014,64.2
1/8/2014,35.76,,1/29/2015,19.07,,1/8/2014,63.54
1/9/2014,35.53,,1/30/2015,19.25,,1/9/2014,65.02
1/10/2014,36.04,,2/2/2015,20.05,,1/10/2014,65.08
1/13/2014,34.98,,2/3/2015,20.56,,1/13/2014,64.69
1/14/2014,35.78,,2/4/2015,22.14,,1/14/2014,64.85
1/15/2014,36.76,,2/5/2015,22.2,,1/15/2014,64.78
1/16/2014,36.89,,2/6/2015,21.87,,1/16/2014,64.98
1/17/2014,36.38,,2/9/2015,21.81,,1/17/2014,64.7
1/21/2014,36.17,,2/10/2015,21.99,,1/21/2014,64.74
1/22/2014,35.93,,2/11/2015,21.99,,1/22/2014,64.01
1/23/2014,36.055,,2/12/2015,21.95,,1/23/2014,63.44
1/24/2014,36.805,,2/13/2015,22.3,,1/24/2014,62.39
1/27/2014,36.03,,2/17/2015,22.16,,1/27/2014,62.11
1/28/2014,36.27,,2/18/2015,22.21,,1/28/2014,62.87
1/29/2014,36.66,,2/19/2015,22.89,,1/29/2014,61.59
1/30/2014,36.86,,2/20/2015,23.25,,1/30/2014,61.49
1/31/2014,37.84,,2/23/2015,23.29,,1/31/2014,61.23
2/3/2014,36.48,,2/24/2015,23.06,,2/3/2014,60.17
2/4/2014,36.35,,2/25/2015,23.34,,2/4/2014,60.35
