trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.95}",25,0,-56.951699176758396,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.8999999999999999}",25,0,-102.48938598316009,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.8499999999999999}",30,0,-260.8558804434806,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
4,False,"{'a': 0.7, 'e': 0.7999999999999998}",20,0,-97.10178113881422,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.7499999999999998}",30,8,-35.61188393169034,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.7, 'e': 0.6999999999999997}",20,0,-55.00910188647674,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.6499999999999997}",25,0,-47.758915382177435,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.5999999999999996}",20,0,-102.46829064863898,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.5499999999999996}",30,0,-120.08379402606943,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.4999999999999996}",30,0,-15.3046416529105,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.4499999999999996}",30,0,-89.82719882703658,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",1
12,False,"{'a': 0.7, 'e': 0.39999999999999963}",30,0,-115.02323836362655,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.34999999999999964}",25,12,-13.156171103111536,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.29999999999999966}",25,0,-28.76674644309679,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.24999999999999967}",20,7,-104.5029120451929,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 3}",1
16,False,"{'a': 0.7, 'e': 0.19999999999999968}",20,11,9.686655656637754,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.1499999999999997}",25,0,14.470392706507536,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.09999999999999969}",20,4,20.217321436760425,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.049999999999999684}",25,15,20.295401656786535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': -3.191891195797325e-16}",20,12,6.98466401720763,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,6,37.66356278037247,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,2,22.798416537317717,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,7,8.980210180178037,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,11,27.77989502472214,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,23.14611956145355,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,16.051616703417714,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,5.531689147757849,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,10.09762876188698,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,21.18647415867619,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,14.69946028235685,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
