trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.95}",20,0,-145.44562867372926,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.9025}",25,0,-142.1423230714688,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.8573749999999999}",20,0,-32.03479396292062,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.8145062499999999}",20,0,-83.7988913761418,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.7737809374999999}",20,0,-121.6116460265912,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.7350918906249998}",35,0,-58.63500298734452,"{0: 24, 1: 5, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.6983372960937497}",25,0,-149.79870664672833,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.6634204312890623}",30,0,-233.50169494228118,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.6302494097246091}",30,5,-172.45696615131087,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",1
10,False,"{'a': 0.7, 'e': 0.5987369392383786}",20,0,-24.615505236932798,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.5688000922764596}",25,0,-71.74567146598162,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.5403600876626365}",25,0,13.01958574683545,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.5133420832795047}",20,0,-35.06570370602529,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.48767497911552943}",20,0,-27.21772967430761,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.46329123015975293}",20,5,-21.32407351965919,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.44012666865176525}",30,10,-0.14721322719914132,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.41812033521917696}",20,0,-8.971206486818044,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.3972143184582181}",25,0,-54.30184501961097,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.37735360253530714}",25,15,4.417880943994122,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.35848592240854177}",20,0,-23.99963777398531,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.34056162628811465}",25,4,-83.87837620022115,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 2}",1
22,False,"{'a': 0.7, 'e': 0.3235335449737089}",25,0,13.02768116657666,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.30735686772502346}",25,10,-37.54498731587856,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
24,False,"{'a': 0.7, 'e': 0.2919890243387723}",20,10,7.21584927182804,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.27738957312183365}",20,0,7.881644712165249,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.263520094465742}",20,0,-57.329445760132955,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.7, 'e': 0.25034408974245487}",25,19,10.145900420814407,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.2378268852553321}",30,9,11.326194045465183,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.2259355409925655}",25,7,-8.051795828479376,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.2146387639429372}",35,24,20.63807050670079,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.20390682574579033}",30,15,19.78729201475049,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.1937114844585008}",35,24,22.14075495283474,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.18402591023557577}",35,18,-15.211725431167086,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.17482461472379698}",20,11,16.5134224921054,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.16608338398760714}",20,0,4.0401537782431935,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
