trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-50.78306607440397,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-239.18882510261088,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,7,-39.04776895554311,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-84.60068277534702,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-63.607730201696015,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-157.6004319513373,"{0: 9, 1: 3, 2: 3, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-183.83242959901307,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-166.92695720337233,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-104.63847001054751,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-198.7623714965344,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-74.08040505609688,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-111.71372277146628,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,1,-110.3529074712604,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,13,-71.30917099454831,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-75.18575170432692,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-30.792155495448498,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-110.93183284236909,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,13,-130.58306708864848,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-131.4098072478009,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-198.38440279856627,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",35,0,-181.19332396358237,"{0: 23, 1: 2, 2: 4, 3: 4, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-136.99383802391932,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-110.07657110877204,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-145.75680662979354,"{0: 19, 1: 0, 2: 7, 3: 3, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-79.01010652641904,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-148.08511722784178,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-80.48983483666821,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-114.49744183040897,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-107.31259560820384,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-161.01313190491118,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
